file_name,ticker,SHORT_NAME,COUNTRY_ISO,COUNTRY_FULL_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_SECTOR_NAME,INDUSTRY_GROUP,INDUSTRY_SECTOR,year_last,n_datapoints,CUR_MKT_CAP
rxn.us.txt,RXN US Equity,REXNORD CORP,US,UNITED STATES,Capital Goods,Industrials,Metal Fabricate/Hardware,Industrial,2017,1416,3499661072
cohr.us.txt,COHR US Equity,COHERENT INC,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,3479811831
eme.us.txt,EME US Equity,EMCOR GROUP INC,US,UNITED STATES,Capital Goods,Industrials,Engineering&Construction,Industrial,2017,3201,3472864613
cfx.us.txt,CFX US Equity,COLFAX CORP,US,UNITED STATES,Capital Goods,Industrials,Hand/Machine Tools,Industrial,2017,2397,3378247413
roll.us.txt,ROLL US Equity,RBC BEARINGS INC,US,UNITED STATES,Capital Goods,Industrials,Metal Fabricate/Hardware,Industrial,2017,3087,3377820013
lpl.us.txt,LPL US Equity,LG DISPLAY-ADR,KR,SOUTH KOREA,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3201,3377780208
rbc.us.txt,RBC US Equity,REGAL BELOIT COR,US,UNITED STATES,Capital Goods,Industrials,Hand/Machine Tools,Industrial,2017,3201,3309245124
clh.us.txt,CLH US Equity,CLEAN HARBORS,US,UNITED STATES,Commercial & Professional Serv,Industrials,Environmental Control,Industrial,2017,3201,3296958559
stn.us.txt,STN US Equity,STANTEC INC,CA,CANADA,Commercial & Professional Serv,Industrials,Engineering&Construction,Industrial,2017,3112,3277555728
tkr.us.txt,TKR US Equity,TIMKEN CO,US,UNITED STATES,Capital Goods,Industrials,Metal Fabricate/Hardware,Industrial,2017,3201,3269130789
ajrd.us.txt,AJRD US Equity,AEROJET ROCKETDY,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,3201,3261258205
wms.us.txt,WMS US Equity,ADVANCED DRAINAG,US,UNITED STATES,Capital Goods,Industrials,Metal Fabricate/Hardware,Industrial,2017,833,3258793841
kex.us.txt,KEX US Equity,KIRBY CORP,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,3201,3233646680
enr.us.txt,ENR US Equity,ENERGIZER HOLDIN,US,UNITED STATES,Household & Personal Products,Consumer Staples,Electrical Compo&Equip,Industrial,2017,3201,3199008040
cr.us.txt,CR US Equity,CRANE CO,US,UNITED STATES,Capital Goods,Industrials,Machinery-Diversified,Industrial,2017,8323,3192875224
prlb.us.txt,PRLB US Equity,PROTO LABS INC,US,UNITED STATES,Capital Goods,Industrials,Miscellaneous Manufactur,Industrial,2017,1440,3020281111
spr.us.txt,SPR US Equity,SPIRIT AEROSYS-A,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,2763,2975274112
mtz.us.txt,MTZ US Equity,MASTEC INC,US,UNITED STATES,Capital Goods,Industrials,Engineering&Construction,Industrial,2017,3201,2968530840
vicr.us.txt,VICR US Equity,VICOR CORP,US,UNITED STATES,Capital Goods,Industrials,Electrical Compo&Equip,Industrial,2017,3201,2944009946
alrm.us.txt,ALRM US Equity,ALARM.COM HOLDIN,US,UNITED STATES,Software & Services,Information Technology,Electronics,Industrial,2017,601,2903493328
wern.us.txt,WERN US Equity,WERNER ENT,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,3201,2875818513
ufpi.us.txt,UFPI US Equity,UNIVERSAL FOREST,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,3201,2856540987
saia.us.txt,SAIA US Equity,SAIA INC,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,3201,2842446626
exp.us.txt,EXP US Equity,EAGLE MATERIALS,US,UNITED STATES,Materials,Materials,Building Materials,Industrial,2017,3201,2842438300
adsw.us.txt,ADSW US Equity,ADVANCED DISPOSA,US,UNITED STATES,Commercial & Professional Serv,Industrials,Environmental Control,Industrial,2017,278,2819562084
ens.us.txt,ENS US Equity,ENERSYS,US,UNITED STATES,Capital Goods,Industrials,Electrical Compo&Equip,Industrial,2017,3201,2781883033
